Elizabeth II	ISTJ	files2/elizabethii.jpg
Elizabeth Olsen	ENTP	women_pics/elizabeth-olsen.jpg
Elizabeth Taylor	ISFP	philosophers_files/elizabethtaylor.jpg
Ellen DeGeneres	ENFP	women_pics/ellen-degeneres.jpg
Ellen Page	ISTP	women_pics/ellen-page.jpg
Elon Musk	INTJ	files2/elon-musk.jpg
Elton John	ESFJ	men_files/elton-john.jpg
Eminem	ISFP	philosophers_files/eminem.jpg
Emma Stone	ENFJ	women_pics/emma-stone.jpg
Emma Watson	ESTJ	women_pics/emma-watson.jpg
Enya	ISFP	women_pics/enya.jpg
Epicurus	ESTP	files2/epicurus.jpg
Erasmus of Rotterdam	ENFJ	files2/erasmus.jpg
Eric Adams	ESFJ	men_files/eric-adams.jpg
Erich Fromm	ENFJ	philosophers_files/fromm.jpg
Ernest Hemingway	ESTP	philosophers_files/hemingway.jpg
Erwin Rommel	ISTP	files2/erwin-rommel.jpg
Evan Rachel Wood	ESFP	women_pics/evan-rachel-wood.jpg
Federico Fellini	ENTP	men_files/federico-fellini.jpg
Fiona Apple	INFP	women_pics/fiona-apple.jpg
Florence Welch	INFP	women_pics/florence-welch.jpg
Francis	ESFJ	files2/pope-francis.jpg
Frank Ocean	ISFP	men_files/frank-ocean.jpg
Frank Zappa	ISTP	men_files/frank-zappa.jpg
Franklin D. Roosevelt	ESTP	files2/fdr1-small.jpg
Franz Kafka	INFP	files2/franz-kafka.jpg
Frederick the Great	ISTJ	files2/frederick-the-great.jpg
Friedrich A. Hayek	INTP	files2/friedrich-hayek.jpg
Friedrich Nietzsche	INTJ	philosophers_files/nietzsche.jpg
Fyodor Dostoevsky	INFJ	files2/dostoevsky.jpg
G.W.F. Hegel	INTJ	philosophers_files/hegel.jpg
Garry Kasparov	ENTJ	files2/garry-kasparov.jpg
George A. Custer	ISFJ	files2/george-armstrong-custer3.jpg
George Carlin	ENFP	men_files/george-carlin.jpg
George Clooney	ENTJ	men_files/george-clooney.jpg
George H.W. Bush	ISFJ	files2/george-h-w-bush.jpg
George Harrison	INFJ	men_files/george-harrison.jpg
George Marshall	ISFJ	files2/george-c-marshall.jpg
George Orwell	INFP	files2/george-orwell.jpg
George R.R. Martin	INFP	files2/george-r-r-martin.jpg
George S. Patton	ESTP	philosophers_files/patton.jpg
George W. Bush	ESTP	philosophers_files/bush2.jpg
George Washington	ISTJ	files2/george-washington.jpg
Gerald Ford	ESFJ	files2/gerald-ford.jpg
Gillian Anderson	ENTP	women_pics/gillian_anderson.jpg
Glenn Beck	ESTP	philosophers_files/beck.jpg
Glenn Close	ESTP	women_pics/glenn-close.jpg
Glenn Gould	INTP	men_files/glenn-gould.jpg
Grant Uland	ISTJ	
Gwen Stefani	ENFP	women_pics/gwen-stefani.jpg
Gwyneth Paltrow	ISFJ	women_pics/gwyneth-paltrow.jpg
H.L. Mencken	INTJ	files2/h-l-mencken.jpg
Halle Berry	ISFJ	women_pics/halle-berry.jpg
Hannah Arendt	INTP	files2/hannah-arendt2.jpg
Hans Christian Andersen	INFP	philosophers_files/andersen.jpg
Harrison Ford	ISTP	men_files/harrison-ford.jpg
Harry S. Truman	ESFJ	files2/harry-truman.jpg
Harry Styles	ESFP	men_files/harry-styles.jpg
Heath Ledger	INFP	men_files/heath-ledger.jpg
Helen Mirren	ESTP	women_pics/helen-mirren.jpg
Helena Bonham Carter	ENFJ	women_pics/carter.jpg
Henry Ford	ESTJ	files2/henry-ford1.jpg
Henry Kissinger	ENTP	philosophers_files/kissinger.jpg
Heraclitus	INTJ	philosophers_files/heraclitus.jpg
Hillary Clinton	ESTJ	philosophers_files/hillary-clinton.jpg
Homer	INFP	philosophers_files/homer.jpg
Horatio Nelson	ESFP	files2/lord-nelson.jpg
Howard Schultz	ESFP	files2/howard-schultz.jpg
Hugh Grant	ENTP	men_files/hugh-grant.jpg
Hugh Hefner	ESFP	files2/hugh-hefner.jpg
Hugh Jackman	ESFJ	men_files/hugh-jackman.jpg
Hunter S. Thompson	ENFP	philosophers_files/thompson.jpg
Ian Curtis	INFP	men_files/ian-curtis.jpg
Immanuel Kant	INTP	files2/immanuel-kant.jpg
